,drug_concept_id,cosine_similarity,rank,gene_count,gene_count_rank,final_rank
199,CHEMBL1628669,0.540771907,200,1,62,196
54,CHEMBL382194,0.684770871,55,0,209,197
201,CHEMBL149082,0.536761705,202,1,62,197
203,CHEMBL3527358,0.533799421,204,1,62,199
204,CHEMBL392760,0.532385538,205,1,62,200
205,CHEMBL442906,0.531964722,206,1,62,201
206,CHEMBL3989972,0.531162859,207,1,62,202
61,CHEMBL214957,0.679942412,62,0,209,203
210,CHEMBL1082508,0.525763495,211,1,62,204
213,CHEMBL1083390,0.519917125,214,1,62,205
215,CHEMBL401844,0.509136268,216,1,62,206
217,CHEMBL2000716,0.504199138,218,1,62,207
220,CHEMBL463914,0.477772013,221,1,62,208
221,CHEMBL399680,0.47348462,222,1,62,209
75,CHEMBL608559,0.663778177,76,0,209,210
222,CHEMBL463065,0.468802678,223,1,62,210
223,CHEMBL4297261,0.452604918,224,1,62,212
224,CHEMBL451930,0.450038903,225,1,62,213
225,CHEMBL4068108,0.397233709,226,1,62,214
92,CHEMBL3716365,0.648799043,93,0,209,215
112,CHEMBL335538,0.636434654,113,0,209,216
113,CHEMBL522770,0.635778518,114,0,209,217
118,CHEMBL567303,0.632292721,119,0,209,218
126,CHEMBL1213139,0.627859387,127,0,209,219
143,CHEMBL593662,0.620245908,144,0,209,220
147,CHEMBL3544947,0.618006102,148,0,209,221
148,CHEMBL506495,0.617896551,149,0,209,222
158,CHEMBL1395071,0.609975145,159,0,209,223
188,CHEMBL4297669,0.562760166,189,0,209,224
207,CHEMBL473806,0.527673388,208,0,209,225
216,CHEMBL431210,0.504949534,217,0,209,226
226,CHEMBL1078549,-0.042330258,227,0,209,227
227,CHEMBL125511,-0.151782793,228,0,209,228
228,CHEMBL254836,-0.164230082,229,0,209,229
